year,avg_citations
1949,92.0
1950,23.5
1951,50.0
1952,14.428571428571429
1953,22.857142857142858
1954,96.23809523809524
1955,60.2
1956,102.3076923076923
1957,75.46153846153847
1958,50.666666666666664
1959,120.65625
1960,83.2
1961,81.32098765432099
1962,77.36904761904762
1963,43.17934782608695
1964,70.10572687224669
1965,58.333333333333336
1966,63.365010799136066
1967,86.11538461538461
1968,69.87614678899082
1969,65.0557880055788
1970,63.68508287292818
1971,76.69283276450511
1972,59.732804232804234
1973,95.33466135458167
1974,77.57359444093494
1975,91.72721396250807
1976,90.33627342888644
1977,78.80578286961266
1978,83.10025706940874
1979,70.01274725274725
1980,72.86201232032855
1981,80.28464419475655
1982,62.552623504142375
1983,72.73220973782772
1984,74.72288623284639
1985,89.4055109568236
1986,90.70086155079143
1987,90.65086276407031
1988,85.58130029377953
1989,98.30844579886809
1990,83.60009661835748
1991,76.41444593988335
1992,81.06247227561732
1993,74.18952271489928
1994,69.48311048557353
1995,77.2740737235603
1996,72.15701050030883
1997,69.39571438641009
1998,71.30379670246559
1999,69.23838060993475
2000,68.71275536176711
2001,68.93438101474294
2002,67.26647162280999
2003,63.42323190017475
2004,56.632877544109576
2005,49.744697813808735
2006,44.678106714846926
2007,42.81809625111916
2008,40.24831985419752
2009,37.63422667967947
2010,34.847334275714346
2011,31.899183218646968
2012,28.464929651429948
2013,25.603194163215008
2014,22.18046650159263
2015,11.412983271227255
2016,8.951232409565742
2017,10.823411856253538
2018,0.0
