keyword,slope
based,7.203638683401446e-05
proposed,5.198133432966265e-05
approach,4.196700927560928e-05
data,4.024505880415407e-05
algorithm,4.003207935250328e-05
arm,3.614966093724893e-05
network,3.5099057571431465e-05
clustering,3.496305678062863e-05
sensor,3.4315766106175744e-05
image,3.3560305699087847e-05
performance,3.351075163769787e-05
learning,3.254718737753546e-05
algorithms,3.0168714517362906e-05
multi,2.90073648457011e-05
foreground,2.876486774673509e-05
local,2.7400359036256063e-05
fusion,2.725468675488662e-05
propose,2.7004924795853033e-05
using,2.5131075756091383e-05
software,2.4726814738132788e-05
networks,2.4053976882533207e-05
framework,2.3676138150605276e-05
subspace,2.3609540831843096e-05
different,2.3330067662286224e-05
mobile,2.3003327171451867e-05
force,2.275766428306839e-05
web,2.274193502121868e-05
sensors,2.2708117249560863e-05
bias,2.2301168527994774e-05
video,2.20312158122301e-05
user,2.1889124088019282e-05
scheme,2.181296341456975e-05
images,2.1721186164296463e-05
environments,2.0756767109200874e-05
architecture,2.0273847278968134e-05
detection,2.0261111955762608e-05
distributed,1.9678080341117436e-05
support,1.9544660612245467e-05
quality,1.9468416056641922e-05
neural,1.9255746021251157e-05
study,1.8903613566109427e-05
fuzzy,1.8695295414072483e-05
multimodal,1.7921524683992515e-05
wireless,1.7753474306163106e-05
users,1.768479592001816e-05
applications,1.706789250771585e-05
adaptive,1.7062433949924958e-05
optimization,1.7013784964949538e-05
efficient,1.6858735346177498e-05
novel,1.6762118899197155e-05
