year,num_papers
1949,1
1950,2
1951,2
1952,7
1953,21
1954,42
1955,35
1956,39
1957,39
1958,54
1959,96
1960,120
1961,162
1962,168
1963,184
1964,227
1965,273
1966,463
1967,546
1968,654
1969,717
1970,724
1971,879
1972,1134
1973,1255
1974,1583
1975,1547
1976,1814
1977,1833
1978,1945
1979,2275
1980,2435
1981,2937
1982,3259
1983,3738
1984,4518
1985,4609
1986,4991
1987,6201
1988,7829
1989,9188
1990,10350
1991,11145
1992,13526
1993,16531
1994,19894
1995,21133
1996,24285
1997,28374
1998,33055
1999,37545
2000,45181
2001,50397
2002,59132
2003,69241
2004,85639
2005,104108
2006,120658
2007,130679
2008,140464
2009,155744
2010,162001
2011,174098
2012,182804
2013,184211
2014,169217
2015,188119
2016,185328
2017,56544
2018,4
